name,symbol,price,previousClosePrice,openPrice,bid,ask,lowDayRange,highDayRange,low52WeekRange,high52WeekRange,volume,averageVolume,marketCap,beta,priceEarningsRatio,earningsPerShare,forwardDividend,yieldPercent
the duckhorn portfolio inc,NAPA,14.23,"14.77,14.77",14.77,14.00 x 800,None,14.22 , 14.87,12.64 , 23.57,391602,673760,1.639B,N/A,27.37,0.52,N/A ,None
nordic american tanker shipping ltd,NAT,3.1800,"3.1700,3.1700",3.1400,3.1800 x 1000,None,3.1350 , 3.2900,1.4000 , 3.6000,3455456,5176820,663.971M,0.06,N/A,-1.0050,0.12 ,3.88
nuveen arizona premium fund,NAZ,11.95,"12.00,12.00",11.99,11.61 x 1300,None,11.80 , 12.03,11.80 , 16.24,20185,16267,138.477M,0.36,398.33,0.03,0.49 ,4.05
nuveen build america bond fund,NBB,15.03,"15.22,15.22",15.25,15.06 x 800,None,15.03 , 15.22,14.53 , 23.16,46705,89693,433.077M,N/A,N/A,N/A,1.11 ,7.39
national bank holdings corp,NBHC,44.07,"43.96,43.96",43.97,43.93 x 1100,None,43.66 , 44.76,36.04 , 48.24,243948,119193,1.656B,0.88,17.56,2.51,0.92 ,2.09
nabors industries,NBR,165.37,"171.67,171.67",172.53,156.70 x 1100,None,165.04 , 174.09,72.46 , 207.67,182936,144835,1.557B,2.72,N/A,-79.21,N/A ,None
neuberger next gen connectivity fund inc,NBXG,9.22,"9.70,9.70",9.75,9.06 x 1000,None,9.21 , 9.70,8.71 , 19.88,271650,255526,726.181M,N/A,N/A,N/A,1.20 ,12.47
nacco industries,NC,55.82,"57.47,57.47",57.49,55.66 x 900,None,55.68 , 57.72,28.32 , 63.19,14994,18443,409.437M,0.83,4.93,11.32,0.83 ,1.44
nuveen california muni value fund,NCA,8.33,"8.42,8.42",8.43,8.22 x 900,None,8.31 , 8.51,8.07 , 10.92,88493,62778,275.791M,0.24,N/A,-0.04,0.33 ,3.90
norwegian cruise ord,NCLH,16.35,"16.79,16.79",16.65,16.32 x 900,None,16.27 , 17.28,10.31 , 29.45,21962487,21797150,6.89B,2.33,N/A,-10.63,N/A ,None
ncr corp,NCR,20.31,"21.36,21.36",21.23,19.82 x 900,None,20.25 , 21.40,18.06 , 45.92,1014774,1962904,2.791B,1.68,23.89,0.85,N/A ,None
virtus allianzgi convertible & income fund,NCV,3.5700,"3.5900,3.5900",3.5700,3.5000 x 1100,None,3.5300 , 3.6200,3.0500 , 6.4100,334482,411840,322.634M,1.22,2.33,1.5300,0.51 ,14.21
allianzgi conv income fd [ncv/pa],NCV-A,None,"None,None",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
virtus allianzgi convertible & income fund ii,NCZ,2.9300,"2.9800,2.9800",2.9700,2.9400 x 1100,None,2.9300 , 3.0200,2.6800 , 5.5000,327798,502778,223.019M,1.21,2.09,1.4000,0.45 ,15.10
allianzgi conv income fd ii [ncz/pa],NCZ-A,None,"None,None",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
nuveen dynamic municipal opportunities fund comm,NDMO,9.87,"9.66,9.66",9.73,9.27 x 900,None,9.58 , 9.87,9.20 , 16.77,267513,219410,586.922M,N/A,6.09,1.62,0.92 ,9.65
tortoise energy independence f,NDP,34.00,"34.94,34.94",34.77,32.49 x 1200,None,33.76 , 34.80,20.98 , 35.56,7100,12906,62.764M,N/A,1.98,17.20,2.24 ,6.41
noble corp plc,NE,35.03,"34.96,34.96",36.25,31.50 x 800,None,34.28 , 36.42,22.01 , 38.59,1038294,1337439,4.57B,N/A,29.31,1.20,N/A ,None
nuveen insured tax-free advantage fund,NEA,10.31,"10.33,10.33",10.40,10.32 x 3200,None,10.30 , 10.40,10.22 , 15.62,1511094,949859,3.083B,0.36,11.33,0.91,0.53 ,5.17
nextera energy capital hlds inc [nee/pk],NEE-K,None,"None,None",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
nextera energy,NEE,77.28,"77.71,77.71",78.19,76.89 x 3100,None,77.02 , 79.82,67.22 , 93.73,6068150,7883278,151.838B,0.49,39.84,1.94,1.70 ,2.19
nextera energy capital hlds inc [nee/pn],NEE-N,None,"None,None",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
nextera energy inc 4.872% corporate units,NEE-O,None,"None,None",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
nextera energy inc,NEE-P,None,"None,None",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
nextera energy inc,NEE-Q,None,"None,None",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
newmont mining corp,NEM,39.53,"41.71,41.71",43.02,39.50 x 800,None,39.46 , 42.67,39.46 , 86.37,14383754,8927473,31.374B,0.27,42.05,0.94,2.20 ,5.20
nextera energy partners lp,NEP,74.80,"75.42,75.42",75.31,74.47 x 1400,None,74.32 , 76.95,61.31 , 88.80,410586,456542,6.47B,0.89,14.67,5.10,3.15 ,4.18
cloudflare inc cl a,NET,49.94,"55.58,55.58",58.80,50.00 x 900,None,49.79 , 54.98,38.96 , 221.64,5457329,4635559,16.353B,1.15,N/A,-0.83,N/A ,None
nabors energy transition corp [netc.u],NET.U,None,"None,None",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
nabors energy transition corp wt [netc/w],NET.W,None,"None,None",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
nabors energy transition corp cl a,NETC,10.14,"10.13,10.13",10.14,10.06 x 2200,None,10.14 , 10.14,9.86 , 10.14,301,30154,349.83M,N/A,N/A,N/A,N/A ,None
eneti inc,NETI,8.57,"8.73,8.73",8.26,7.06 x 1300,None,8.49 , 8.98,4.81 , 15.15,444147,282970,329.486M,1.03,N/A,-0.76,0.04 ,0.49
dorian lpg ltd,LPG,18.84,"18.57,18.57",18.90,18.81 x 800,None,18.66 , 19.43,10.77 , 19.43,1061641,581184,756.174M,1.10,8.34,2.26,5.50 ,32.39
stride inc,LRN,33.72,"33.92,33.92",33.92,33.75 x 800,None,33.34 , 34.50,25.65 , 47.35,576092,672796,1.451B,0.35,15.68,2.15,N/A ,None
louisiana-pacific corp,LPX,52.58,"56.46,56.46",55.47,51.01 x 800,None,52.48 , 56.40,48.20 , 79.77,1048897,1179168,3.884B,1.62,3.38,15.57,0.88 ,1.56
ltc properties,LTC,38.27,"38.23,38.23",38.20,37.75 x 900,None,38.07 , 38.92,31.36 , 45.49,277338,244287,1.55B,0.92,16.22,2.36,2.28 ,5.96
lightspeed commerce inc,LSPD,17.94,"19.03,19.03",19.10,17.95 x 800,None,17.94 , 19.38,15.03 , 99.71,1687011,1030337,2.671B,2.91,N/A,-2.04,N/A ,None
life storage,LSI,101.97,"110.27,110.27",109.03,100.01 x 800,None,101.33 , 109.94,99.78 , 154.45,1081330,596042,8.711B,0.62,27.05,3.77,4.32 ,3.92
laredo petroleum holdings inc,LPI,63.65,"65.89,65.89",65.88,63.51 x 800,None,63.51 , 67.55,51.23 , 120.86,449196,770325,1.089B,3.46,1.78,35.82,N/A ,None
lg display co. ltd adr,LPL,4.5600,"4.6200,4.6200",4.6500,4.4300 x 3100,None,4.5500 , 4.7200,4.0800 , 10.7800,283944,462123,3.263B,1.41,91.20,0.0500,0.26 ,5.69
life time group holdings inc,LTH,9.73,"10.31,10.31",10.27,9.20 x 800,None,9.72 , 10.37,9.20 , 23.37,351650,366407,1.886B,N/A,N/A,-2.75,N/A ,None
livent corp,LTHM,28.43,"31.33,31.33",29.99,28.55 x 900,None,27.88 , 30.95,19.35 , 36.38,6234804,3885718,5.097B,1.80,51.69,0.55,N/A ,None
lufax holding ltd adr,LU,1.5500,"1.5200,1.5200",1.5700,1.5300 x 1100,None,1.4600 , 1.5700,1.3000 , 7.6200,11976986,9346384,3.543B,0.39,1.80,0.8600,0.51 ,33.55
centurylink,LUMN,7.05,"7.43,7.43",7.37,5.99 x 27000,None,7.01 , 7.39,6.34 , 14.50,25283395,15846734,7.299B,1.07,3.63,1.94,1.00 ,13.46
southwest airlines company,LUV,36.50,"36.94,36.94",36.70,36.26 x 1200,None,36.49 , 37.59,30.20 , 52.79,6984649,5643751,21.672B,1.03,27.04,1.35,N/A ,None
las vegas sands,LVS,38.18,"38.64,38.64",37.98,38.10 x 1100,None,37.98 , 39.57,28.88 , 48.27,6608362,6752351,29.176B,1.17,15.79,2.42,N/A ,None
livewire group inc wt [lvwr/w],LVW.W,None,"None,None",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
livewire group inc,LVWR,7.46,"8.05,8.05",8.02,7.30 x 2200,None,7.36 , 8.14,6.75 , 12.27,33900,332865,1.51B,N/A,N/A,N/A,N/A ,None
lamb weston holdings inc,LW,86.17,"86.18,86.18",85.97,85.66 x 1000,None,85.80 , 88.04,49.71 , 88.04,1441376,1522532,12.394B,0.51,31.00,2.78,0.98 ,1.15
luxfer holdings plc,LXFR,13.78,"14.51,14.51",14.39,13.00 x 1100,None,13.77 , 14.40,13.77 , 23.71,90427,66187,374.934M,0.94,13.00,1.06,0.52 ,3.58
lxp industrial trust,LXP,9.59,"9.78,9.78",9.72,8.66 x 4000,None,9.54 , 9.86,8.81 , 16.11,1745538,1726945,2.692B,0.77,8.64,1.11,0.48 ,4.91
lexington realty trust [lxp/pc],LXP-C,None,"None,None",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
lsb industries inc,LXU,16.64,"17.66,17.66",17.86,16.35 x 1000,None,16.13 , 17.86,8.13 , 27.45,1107110,995101,1.385B,N/A,N/A,-2.20,N/A ,None
lyondellbasell industries nv,LYB,78.20,"78.47,78.47",78.04,76.11 x 800,None,77.05 , 80.42,71.46 , 117.22,3970760,2340314,25.464B,1.26,6.04,12.95,4.76 ,6.23
lloyds banking group plc adr,LYG,1.8700,"1.9300,1.9300",1.9100,1.8800 x 36100,None,1.8700 , 1.9400,1.7000 , 3.0000,11475350,10935226,31.754B,1.21,7.19,0.2600,0.10 ,5.35
live nation entertainment,LYV,76.78,"79.43,79.43",78.75,76.20 x 1000,None,76.76 , 79.93,73.35 , 127.75,1473341,1473992,17.657B,1.34,N/A,-2.05,N/A ,None
la-z-boy inc,LZB,23.86,"24.82,24.82",24.66,19.00 x 800,None,23.83 , 25.08,21.92 , 39.99,300401,362910,1.027B,1.05,6.38,3.74,0.66 ,2.66
macy's inc,M,19.57,"20.81,20.81",20.56,19.50 x 800,None,19.53 , 20.81,15.10 , 37.95,9716916,11443287,5.303B,1.68,3.83,5.11,0.63 ,3.03
mastercard inc,MA,319.82,"333.19,333.19",331.42,318.50 x 1000,None,319.63 , 333.00,276.87 , 399.92,2965803,2846032,307.494B,1.07,31.95,10.01,1.96 ,0.59
mid-america apartment communities,MAA,153.21,"157.55,157.55",156.82,152.33 x 1000,None,153.05 , 158.88,141.13 , 231.63,807882,710853,18.182B,0.75,28.27,5.42,5.00 ,3.17
mid amer apt cmntys inc [maa/pi],MAA-I,None,"None,None",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
macerich company,MAC,11.39,"11.66,11.66",11.51,11.45 x 1400,None,11.35 , 11.82,7.40 , 22.88,3444102,2470273,2.559B,1.94,47.46,0.24,0.68 ,5.83
mission advancement corp unit [macc.u],MAC.U,None,"None,None",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
mission advancement corp wt [macc/w],MAC.W,None,"None,None",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
mission advancement corp cl a,MACC,10.02,"10.02,10.02",9.98,10.01 x 1100,None,10.01 , 10.02,9.63 , 10.06,29000,103487,431.897M,N/A,41.73,0.24,N/A ,None
main street capital corp,MAIN,37.30,"37.25,37.25",37.26,36.84 x 800,None,36.90 , 38.03,31.66 , 47.13,346226,373178,2.807B,1.33,10.16,3.67,2.64 ,7.09
manpower inc,MAN,78.30,"80.32,80.32",79.69,77.61 x 900,None,77.98 , 80.67,64.00 , 115.54,341164,429229,4.051B,1.65,9.65,8.11,2.72 ,3.39
manchester united ltd,MANU,12.87,"13.11,13.11",13.10,12.51 x 1000,None,12.77 , 13.10,10.41 , 16.52,266310,710381,2.099B,0.58,N/A,-1.15,0.18 ,1.38
masco corp,MAS,44.12,"45.66,45.66",45.62,43.74 x 900,None,44.08 , 46.30,42.33 , 71.06,1833405,1850348,9.95B,1.21,11.99,3.68,1.12 ,2.45
mativ holdings inc,MATV,22.79,"23.89,23.89",23.65,22.71 x 1100,None,22.78 , 23.98,19.08 , 38.63,244924,417984,1.251B,0.82,9.34,2.44,1.60 ,6.70
matson inc,MATX,71.11,"74.87,74.87",73.87,71.68 x 800,None,70.99 , 75.07,60.35 , 125.34,531026,392587,2.772B,1.29,2.13,33.46,1.24 ,1.66
pioneer municipal high income advantage fund,MAV,7.36,"7.38,7.38",7.41,7.26 x 800,None,7.32 , 7.41,7.29 , 12.10,220391,80481,176.01M,0.39,N/A,-0.89,0.53 ,7.15
mediaalpha inc cl a,MAX,11.06,"11.23,11.23",11.25,11.08 x 1000,None,10.94 , 11.38,7.59 , 18.77,369320,184057,665.812M,0.80,N/A,-0.32,N/A ,None
maxar technologies ltd,MAXR,20.94,"22.38,22.38",22.21,19.77 x 1000,None,20.93 , 22.35,17.51 , 40.48,496694,542679,1.554B,1.37,29.91,0.70,0.04 ,0.18
m3 brigade acquisition ii corp [mbac.u],MBA.U,None,"None,None",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
m3 brigade acquisition ii corp wt [mbac/w],MBA.W,None,"None,None",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
m3-brigade acquisition ii corp cl a,MBAC,9.95,"9.94,9.94",9.95,4.10 x 1400,None,9.94 , 9.95,9.27 , 10.05,82068,81279,497.5M,N/A,30.15,0.33,N/A ,None
mbia inc,MBI,9.98,"10.83,10.83",10.71,10.01 x 1100,None,9.94 , 10.88,8.91 , 17.90,491974,272784,547.901M,1.20,N/A,-8.31,N/A ,None
m3 brigade acquisition iii [mbsc.u],MBS.U,None,"None,None",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
m3 brigade acquisition iii wt [mbsc/w],MBS.W,None,"None,None",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
m3-brigade acquisition iii corp cl a,MBSC,10.07,"10.07,10.07",10.06,0.00 x 1400,None,10.06 , 10.07,9.65 , 10.17,162108,29828,377.625M,N/A,N/A,N/A,N/A ,None
moelis,MC,43.01,"43.60,43.60",43.66,38.00 x 900,None,42.58 , 44.24,33.12 , 77.49,941654,500639,2.959B,1.35,7.55,5.70,2.40 ,5.67
metropolitan bank holding corp,MCB,66.38,"66.43,66.43",66.00,66.14 x 1000,None,65.88 , 67.55,59.29 , 115.78,77039,62126,743.741M,1.18,8.37,7.93,N/A ,None
mcdonald's corp,MCD,270.37,"272.95,272.95",273.00,270.00 x 1400,None,270.31 , 276.67,217.68 , 276.67,2993267,2732287,198.916B,0.59,34.31,7.88,6.08 ,2.23
membership collective group inc cl a,MCG,4.5000,"4.7600,4.7600",4.7400,4.2100 x 800,None,4.4700 , 4.9300,3.1400 , 14.0000,344636,461834,899.64M,N/A,N/A,-1.5570,N/A ,None
massmutual corporate investors,MCI,13.13,"13.13,13.13",13.07,12.50 x 1300,None,13.04 , 13.27,12.80 , 16.79,25709,19539,266.036M,0.71,9.80,1.34,1.04 ,7.92
mckesson corp,MCK,389.79,"382.04,382.04",382.03,389.00 x 900,None,380.00 , 399.41,215.27 , 399.41,1584475,965390,56.025B,0.62,41.96,9.29,2.16 ,0.57
madison/claymore covered call & equity strategy,MCN,7.49,"7.60,7.60",7.64,7.47 x 800,None,7.45 , 7.76,6.27 , 8.39,79572,100500,157.209M,0.84,6.94,1.08,0.72 ,9.20
moody's corp,MCO,256.11,"264.35,264.35",263.43,248.03 x 800,None,256.09 , 266.68,230.16 , 403.73,908782,730254,47.012B,1.24,30.60,8.37,2.80 ,1.06
mfs charter income trust,MCR,6.29,"6.46,6.46",6.43,6.04 x 1300,None,6.25 , 6.49,5.81 , 8.70,101318,91446,278.68M,0.52,69.89,0.09,0.54 ,8.42
marcus corp,MCS,14.49,"14.70,14.70",14.65,14.50 x 800,None,14.38 , 15.06,13.41 , 22.32,318805,250689,456.526M,1.56,144.90,0.10,0.20 ,1.33
mister car wash inc,MCW,8.78,"9.02,9.02",8.93,7.00 x 900,None,8.73 , 9.18,7.80 , 19.82,1093369,2184618,2.672B,N/A,17.92,0.49,N/A ,None
mercury general corp,MCY,33.06,"28.97,28.97",29.87,31.86 x 900,None,29.87 , 33.40,27.89 , 56.95,889421,613318,1.831B,0.52,N/A,-1.01,1.27 ,4.38
pediatrix medical group inc,MD,18.63,"19.54,19.54",19.63,18.67 x 800,None,18.50 , 19.63,16.14 , 28.99,377457,591125,1.572B,1.80,19.41,0.96,N/A ,None
m.d.c. holdings,MDC,29.50,"30.11,30.11",30.06,28.43 x 800,None,29.47 , 31.24,27.04 , 56.53,957089,667476,2.102B,1.37,3.35,8.80,2.00 ,6.64
mdh acquisition corp cl a,MDH,9.94,"9.92,9.92",9.94,9.94 x 800,None,9.94 , 9.95,9.68 , 9.96,277766,71048,342.93M,N/A,20.71,0.48,N/A ,None
mdh acquisition corp units,MDH.U,None,"None,None",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
mdh acquisition corp wt,MDH.W,None,"None,None",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
medtronic inc,MDT,85.78,"87.74,87.74",87.48,85.30 x 800,None,85.77 , 88.74,79.44 , 124.63,5763804,5740917,114.014B,0.77,22.17,3.87,2.72 ,3.11
mdu res group inc,MDU,28.01,"28.71,28.71",28.66,28.03 x 1000,None,27.92 , 28.75,24.92 , 32.19,1247771,1079200,5.696B,0.74,17.40,1.61,0.87 ,3.03
modiv inc cl c,MDV,10.29,"10.43,10.43",10.16,10.11 x 800,None,10.00 , 10.55,9.62 , 89.99,10813,18695,76.731M,N/A,N/A,-1.55,1.15 ,10.89
modiv inc,MDV-A,None,"None,None",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
mainstay cbre global infrastructure megatrends f,MEGI,13.09,"13.31,13.31",13.35,12.16 x 900,None,13.09 , 13.57,11.43 , 20.50,292974,164517,N/A,N/A,N/A,N/A,1.30 ,9.92
methode electronics,MEI,41.34,"42.05,42.05",42.14,38.00 x 900,None,41.33 , 42.75,33.91 , 49.94,143144,137676,1.512B,1.11,16.40,2.52,0.56 ,1.33
metlife inc,MET,73.57,"73.94,73.94",73.91,72.60 x 800,None,73.45 , 75.52,57.05 , 75.52,4621360,4302318,58.68B,1.01,18.63,3.95,2.00 ,2.70
bank of america corp [mer/pk],MER-K,None,"None,None",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
metlife inc [met/pa],MET-A,None,"None,None",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
metlife inc [met/pe],MET-E,None,"None,None",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
mfa financial inc,MFA,9.72,"9.98,9.98",10.08,9.65 x 900,None,9.71 , 10.22,7.15 , 19.04,1435506,1733354,989.428M,1.80,8.76,1.11,1.76 ,17.67
mfa financial inc [mfa/pb],MFA-B,None,"None,None",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
mfa financial inc [mfa/pc],MFA-C,None,"None,None",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
manulife financial corp,MFC,16.40,"16.64,16.64",16.61,16.40 x 21500,None,16.38 , 16.82,14.92 , 22.19,4091268,3318335,31.067B,1.15,5.75,2.85,1.00 ,5.98
mizuho financial group adr,MFG,2.1300,"2.1400,2.1400",2.1600,2.1500 x 2900,None,2.1300 , 2.1800,2.1300 , 2.9400,1969736,1504142,26.983B,0.58,8.88,0.2400,N/A ,None
mfs muni income trust,MFM,4.7900,"4.8800,4.8800",4.8700,4.7000 x 4000,None,4.8000 , 4.8700,4.6600 , 7.2500,94526,114923,197.289M,0.42,8.12,0.5900,0.23 ,4.80
mfs special value trust,MFV,4.3300,"4.3300,4.3300",4.3300,4.2200 x 2200,None,4.3013 , 4.3600,3.9500 , 7.1800,769,12956,31.568M,0.78,4.76,0.9100,0.45 ,10.50
mistras group inc,MG,5.14,"5.15,5.15",5.15,4.50 x 800,None,5.13 , 5.42,4.36 , 10.98,31262,62106,153.207M,1.72,57.11,0.09,N/A ,None
magna international,MGA,54.32,"55.85,55.85",55.80,53.97 x 800,None,54.27 , 56.44,45.58 , 90.15,979278,997603,15.714B,1.54,23.82,2.28,1.80 ,3.22
mfs government markets income trust,MGF,3.3200,"3.2700,3.2700",3.2700,3.1000 x 1100,None,3.2700 , 3.3400,3.1100 , 4.3300,57180,70954,108.223M,0.17,N/A,-0.0640,0.26 ,7.95
mgm resorts international,MGM,35.11,"35.94,35.94",35.86,33.70 x 900,None,34.94 , 36.97,26.41 , 51.17,7175691,5297196,13.802B,2.05,5.08,6.91,0.01 ,0.03
affiliated managers group inc,MGR,20.35,"20.40,20.40",20.33,20.28 x 800,None,20.01 , 20.56,20.01 , 27.88,31567,24675,N/A,N/A,N/A,N/A,N/A ,None
affiliated managers group inc 4.750% junior sub,MGRB,16.80,"16.82,16.82",16.82,16.80 x 800,None,16.68 , 16.96,16.62 , 26.35,38750,24517,N/A,N/A,N/A,N/A,N/A ,None
affiliated managers group inc 4.200%,MGRD,14.85,"14.85,14.85",14.87,11.84 x 800,None,14.77 , 14.95,14.59 , 25.05,17428,16135,N/A,N/A,N/A,N/A,N/A ,None
macquarie global infrastructure total return fun,MGU,21.10,"21.29,21.29",21.23,20.05 x 900,None,21.10 , 21.76,18.83 , 26.79,41402,34043,259.762M,1.19,5.18,4.07,1.56 ,7.33
magnolia oil & gas corp,MGY,24.99,"25.56,25.56",26.00,24.99 x 900,None,24.88 , 27.00,17.23 , 30.31,3586240,1573904,7.225B,2.11,6.70,3.73,0.40 ,1.56
maiden holdings ltd [mh/pa],MH-A,None,"None,None",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
maiden holdings ltd [mh/pc],MH-C,None,"None,None",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
maiden holdings ltd [mh/pd],MH-D,25.25,"25.25,25.25",0.00,None,None,None,None,None,None,None,None,0.00 - 0.00,None,N/A,None,None,None
blackrock muniholdings fund,MHD,10.82,"10.76,10.76",10.75,10.72 x 1000,None,10.71 , 10.90,10.70 , 17.25,272430,154125,577.321M,0.40,12.16,0.89,0.57 ,5.30
pioneer muni high income trust,MHI,7.94,"7.98,7.98",7.98,7.96 x 900,None,7.94 , 8.02,7.86 , 12.45,124514,93404,180.804M,0.39,11.85,0.67,0.58 ,7.22
western asset muni high,MHF,6.21,"6.20,6.20",6.20,6.07 x 1000,None,6.18 , 6.22,6.10 , 8.55,35828,51025,134.454M,0.31,15.15,0.41,0.24 ,3.80
mohawk industries,MHK,90.47,"95.09,95.09",94.39,90.25 x 900,None,90.40 , 94.89,88.85 , 192.00,743443,630968,5.748B,1.30,33.38,2.71,N/A ,None
maiden holdings ltd 6.625% no,MHLA,15.12,"15.06,15.06",15.00,15.12 x 1100,None,15.05 , 15.12,14.26 , 23.06,2479,1962,N/A,N/A,N/A,N/A,None,None
blackrock muniholdings new york quality fund,MHN,9.36,"9.32,9.32",9.34,9.01 x 900,None,9.32 , 9.41,9.16 , 14.96,77747,70790,291.396M,0.36,N/A,-0.15,0.44 ,4.74
maiden holdings north america,MHNC,17.14,"16.97,16.97",17.13,17.14 x 800,None,17.13 , 17.14,16.25 , 24.47,3055,5339,N/A,N/A,N/A,N/A,N/A ,None
m/i homes,MHO,39.72,"41.39,41.39",41.30,39.24 x 1800,None,39.71 , 42.24,34.33 , 64.92,246320,256481,1.089B,1.85,2.43,16.37,N/A ,None
mfs intermediate income trust,MIN,2.8000,"2.7800,2.7800",2.7700,2.7400 x 3100,None,2.7700 , 2.8200,2.6600 , 3.6700,296628,220325,324.951M,0.21,140.00,0.0200,0.26 ,9.50
pioneer municipal high income opportunities fund,MIO,9.60,"9.54,9.54",9.59,9.40 x 1000,None,9.54 , 9.62,9.35 , 19.48,244133,61895,162.099M,N/A,N/A,N/A,0.76 ,7.96
mirion technologies inc,MIR,6.45,"7.67,7.67",7.50,6.34 x 4000,None,6.43 , 7.45,5.40 , 11.95,4666834,934703,1.342B,0.67,8.60,0.75,N/A ,None
mirion technologies inc wt,MIR.W,None,"None,None",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
mason industrial technology inc cl a,MIT,9.92,"9.93,9.93",9.92,9.91 x 800,None,9.91 , 9.94,9.65 , 9.97,72691,109075,620M,N/A,35.43,0.28,N/A ,None
ag mtg invt tr inc [mitt/pa],MIT-A,None,"None,None",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
ag mtg invt tr inc [mitt/pb],MIT-B,None,"None,None",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
mason industrial technology inc unit [mit.u],MIT.U,None,"None,None",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
mason industrial technology wt,MIT.W,None,"None,None",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
ag mortgage investment trust,MITT,4.8100,"4.8700,4.8700",4.8500,4.8000 x 800,None,4.8100 , 5.0000,3.5200 , 13.4900,92495,259142,108.235M,1.71,2.66,1.8100,0.84 ,17.11
mix telematics ltd adr,MIXT,8.21,"8.12,8.12",8.13,8.23 x 1100,None,8.12 , 8.57,6.75 , 12.96,18279,22653,181.305M,0.47,35.70,0.23,0.23 ,2.92
blackrock muniyield michigan quality fund,MIY,10.69,"10.70,10.70",10.74,10.54 x 1200,None,10.66 , 10.80,10.60 , 15.68,134474,49835,315.525M,0.26,N/A,-0.32,0.53 ,4.95
mccormick & company,MKC,77.23,"78.59,78.59",78.51,77.00 x 800,None,77.12 , 79.42,71.19 , 107.35,1026993,1238796,20.74B,0.57,30.17,2.56,1.48 ,1.88
mccormick & co. inc,MKC.V,None,"None,None",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
markforged hldg corp wt,MKF.W,None,"None,None",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
markforged hldg corp,MKFG,2.0200,"2.1800,2.1800",2.1700,2.0000 x 1200,None,2.0100 , 2.1800,1.7200 , 7.6850,469373,798818,389.018M,1.23,11.88,0.1700,N/A ,None
markel corp,MKL,"1,207.25","1,207.07,1,207.07","1,204.21","1,090.00 x 800",None,"1,201.34 "," 1,233.73","1,064.09 "," 1,519.25",59543,49182,16.329B,N/A,670.69,1.80,N/A ,None
moneylion inc,ML,1.1400,"1.1700,1.1700",1.1400,1.1100 x 800,None,1.1200 , 1.2501,0.7820 , 6.4000,522586,1004353,309.455M,1.82,N/A,-0.4270,N/A ,None
moneylion inc wt,ML.W,None,"None,None",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
mueller industries,MLI,61.76,"64.70,64.70",64.40,61.60 x 800,None,61.46 , 64.47,49.42 , 70.38,297414,317882,3.512B,1.11,5.43,11.38,1.00 ,1.55
martin marietta materials,MLM,322.89,"334.33,334.33",333.35,281.00 x 900,None,321.95 , 339.66,284.99 , 446.46,850100,394028,20.14B,0.87,25.79,12.52,2.64 ,0.79
meridianlink inc,MLNK,16.85,"17.63,17.63",17.58,6.95 x 1000,None,16.83 , 17.80,13.81 , 26.40,135173,147565,1.361B,N/A,N/A,-0.31,N/A ,None
maui land & pineapple company,MLP,8.50,"8.55,8.55",8.75,6.58 x 900,None,8.50 , 8.75,8.27 , 12.36,573,6365,165.877M,0.60,30.36,0.28,N/A ,None
miller industries,MLR,25.84,"26.03,26.03",26.00,16.20 x 1800,None,25.80 , 26.68,21.00 , 37.99,38454,41546,295.008M,0.93,23.93,1.08,0.72 ,2.77
marsh & mclennan companies,MMC,159.06,"162.24,162.24",161.68,148.80 x 900,None,159.06 , 164.16,142.80 , 183.14,1504794,1575832,78.895B,0.89,23.81,6.68,2.36 ,1.45
